,From Bank,To Bank,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
0,11495,394,1996.55,US Dollar,1996.55,US Dollar,ACH,1
1,135558,16,24057.68,Canadian Dollar,24057.68,Canadian Dollar,Cash,0
2,21414,21393,5255.61,US Dollar,5255.61,US Dollar,ACH,0
3,219788,1277,385.44,US Dollar,385.44,US Dollar,ACH,1
4,70,151852,48610.78,Brazil Real,48610.78,Brazil Real,Credit Card,1
5,18081,4790,275.58,US Dollar,275.58,US Dollar,ACH,1
6,169489,269999,0.046058,Bitcoin,0.046058,Bitcoin,Bitcoin,1
7,70,240242,459.18,US Dollar,459.18,US Dollar,Cheque,1
8,235676,16,21349.92,Canadian Dollar,21349.92,Canadian Dollar,ACH,1
9,33881,33881,148779.63,Euro,148779.63,Euro,Reinvestment,0
10,70,5436,4122.49,Euro,4122.49,Euro,Cheque,1
11,12,24643,16918.78,Euro,16918.78,Euro,ACH,1
12,264481,23848,3764.11,Euro,3764.11,Euro,ACH,1
13,57466,258630,66078.16,Shekel,66078.16,Shekel,Credit Card,0
14,70,257741,578.99,Shekel,578.99,Shekel,Cash,1
15,1110,12055,1572.13,Euro,1572.13,Euro,ACH,1
16,354162,354162,315.03,Swiss Franc,315.03,Swiss Franc,Reinvestment,0
17,70,215112,95.47,Euro,95.47,Euro,Credit Card,1
18,119699,19414,3002605.48,Rupee,3002605.48,Rupee,ACH,1
19,23726,24455,2341.27,Euro,2341.27,Euro,Credit Card,0
20,70,14652,52.14,Euro,52.14,Euro,Credit Card,0
21,423,600,15738.94,Euro,15738.94,Euro,ACH,1
22,1217,22547,2673.76,US Dollar,2673.76,US Dollar,Credit Card,0
23,12503,8884,1199.35,Euro,1199.35,Euro,ACH,1
24,11,135558,51870.45,Canadian Dollar,51870.45,Canadian Dollar,ACH,1
25,70,27436,712.47,Euro,712.47,Euro,Cheque,0
26,22129,21414,1041049.56,US Dollar,1041049.56,US Dollar,ACH,1
27,110821,215766,250.66,US Dollar,250.66,US Dollar,Credit Card,0
28,70,1439,1006.3,US Dollar,1006.3,US Dollar,Cheque,1
29,18084,19085,121.2,US Dollar,121.2,US Dollar,Cheque,0
30,8488,19589,67.67,US Dollar,67.67,US Dollar,Cheque,0
31,22106,22106,1146.2,US Dollar,1146.2,US Dollar,Reinvestment,0
32,14,23033,280601.77,Rupee,280601.77,Rupee,ACH,1
33,142342,19419,13095.53,Euro,13095.53,Euro,ACH,1
34,217073,21461,504018.06,Yen,504018.06,Yen,ACH,1
35,70,19414,24238.07,Rupee,24238.07,Rupee,Cheque,1
36,25885,6681,2889.48,Euro,2889.48,Euro,ACH,1
37,10920,5923,14616.17,Yuan,14616.17,Yuan,ACH,1
38,600,14172,30.01,Euro,30.01,Euro,ACH,0
39,158021,160008,577.92,Shekel,577.92,Shekel,Credit Card,0
40,25,25,268774.55,Rupee,268774.55,Rupee,ACH,1
41,74307,272717,0.336604,Bitcoin,0.336604,Bitcoin,Bitcoin,1
42,126588,243246,4476.11,US Dollar,4476.11,US Dollar,ACH,1
43,19622,19622,20.49,Euro,20.49,Euro,Reinvestment,0
44,21393,128097,1917.19,US Dollar,1917.19,US Dollar,Cheque,0
45,70,110821,1826.61,US Dollar,1826.61,US Dollar,Cheque,1
46,3,1595,3883.05,Euro,3883.05,Euro,ACH,1
47,8488,43256,6376376.47,US Dollar,6376376.47,US Dollar,Cheque,0
48,24643,214445,21.78,Euro,21.78,Euro,Credit Card,0
49,247096,247096,10.03,Euro,10.03,Euro,Reinvestment,0
50,423,18747,3383.73,US Dollar,3383.73,US Dollar,Wire,0
51,15168,28335,42843.48,Yuan,42843.48,Yuan,ACH,1
52,343489,43129,282.44,Australian Dollar,282.44,Australian Dollar,ACH,0
